Name,Location,longitude,latitude,image,description,onBoard,logo,Country,Continent,Union,ID,Created date,Updated date,Owner,Email
Mt. Buller,,146.44897,-37.146795,image://v1/25b4a3_c4a876f919e94598a3e717714b801101~mv2.jpeg/1200_675/mount-buller%20(1).jpeg,"Just three hours' drive from Melbourne, Mt Buller is close enough for a day’s escape yet far enough away for a holiday. Mt Buller has everything you need for the perfect winter snow experience.",TRUE,image://v1/25b4a3_14894f6e67074df583594975880ac212~mv2.jpg/3096_894/F5G_T77LOLT3-theme-logo.jpg,Australia,Oceania,,b8b7137d-37e3-4427-8fe1-92168d075f35,2018-05-08T11:28:48Z,2018-06-20T05:26:00Z,,
Aspen Snowmass,,-106.949909,39.208956,image://v1/25b4a3_e6797986145949f7b799e83d87896544~mv2.jpg/760_514/aspensnowmass%20(1).jpg,"At Snowmass, you could spend your entire trip skiing and riding its terrain without covering the same ground twice.",FALSE,image://v1/25b4a3_2ec9f5bc6d404f3b99775103135c5052~mv2.jpg/717_230/Aspen_Snowmass_-_Stacked_Logo.jpg,USA,,,b5103af6-1755-463b-b363-6464a04dc93f,2018-05-08T11:28:48Z,2018-06-19T06:15:12Z,,
Niseko United,,140.647951,42.847472,image://v1/25b4a3_32610180dc624df29d3e1cfeb06fb13e~mv2.jpg/1920_1080/niseko%20(1).jpg,"Niseko United is comprised of four resorts on the one mountain, Niseko Annupuri (1,308m).",TRUE,image://v1/25b4a3_416b92031960410f979ef091cd658678~mv2.jpg/1887_676/TRS_07075_Niseko_Logo_Summer_Version_B_RGB.jpg,Japan,Asia,,0feee650-847f-4fe2-8ce2-425e391e87ab,2018-05-08T11:28:46Z,2018-06-15T02:10:27Z,,
Ötscher – Lackenhof (Gaming),,15.2024638,47.8614921,,,,,Austria,Europe,EU,0382294a-20c2-4f7e-912b-879689c28965,2018-05-08T11:28:44Z,2018-06-01T02:05:11Z,,
Ötzlifte (Rabenkopf) – Kochel am See,,11.3978226,47.6728665,,,,,Germany,Europe,EU,7d9ac5f3-a455-4440-9a43-8462a8705392,2018-05-08T11:28:44Z,2018-06-01T02:05:11Z,,
Østerlars (Bornholm),,14.965579,55.164759,,,,,Denmark,Europe,EU,28b9325e-d1a9-404c-9a30-703d0b5c8317,2018-05-08T11:28:44Z,2018-06-01T02:05:11Z,,
Čelimbaša,,14.8598071,45.3088246,,,,,Croatia,Europe,EU,656b94e0-94a4-4af7-b5fb-6e362c8d9b3a,2018-05-08T11:28:44Z,2018-06-01T02:05:11Z,,
Černá hora – Janské Lázně,,15.741944,50.6525,,,,,Czech Republic,Europe,EU,bfcedfff-9291-44ff-a23a-1b00aebc1ccf,2018-05-08T11:28:44Z,2018-06-01T02:05:11Z,,
Černá Říčka,,15.329517,50.77764,,,,,Czech Republic,Europe,EU,5e7dabca-659f-4d90-a86f-82656979de4a,2018-05-08T11:28:44Z,2018-06-01T02:05:11Z,,
Černý Důl,,15.7106011,50.6349589,,,,,Czech Republic,Europe,EU,bf5db3a8-08dd-4a6a-95c8-3158251fd4e8,2018-05-08T11:28:44Z,2018-06-01T02:05:11Z,,
