Continent,Union,Country,Name,Lift Operator,Phone,Email,no. of lift,Longitude,Latitude,WixID
Europe,EU,Poland,Rachowiec �E��E ZwardoŁE,ZwardoŁE Ski,"""+48605311511""",zwardonski@gmail.com,3,19.0027777,49.5027777,76cadd64-493a-4088-8082-c682c96c087a
Europe,EU,Germany,Garmisch-Classic �E��E Garmisch-Partenkirchen,Bayerische Zugspitzbahn Bergbahn AG,"""+4988217970""",zugspitzbahn@zugspitze.de,17,11.0963349,47.4808028,7aa39818-30b6-4827-b42c-97a135c4a4ce
Europe,EU,Germany,Zugspitze,Bayerische Zugspitzbahn Bergbahn AG,"""+4988217970""",zugspitzbahn@zugspitze.de,10,10.9853652,47.421066,53d2d203-7d14-4276-a385-30a29be944da
North America,,Canada,Fortress Mountain,Ski Kananaskis,"""+14032293637""",zrinko@banffrailco.com,6,-115.210702,50.828724,ca955d72-310e-4f56-8811-08f9668689bd
Europe,EU,Netherlands,SnowWorld Zoetermeer (indoor ski area),SnowWorld Zoetermeer,"""+31793202202""",zoetermeer@snowworld.com,6,4.4578477,52.0706388,2593932e-9e4b-4952-951a-de93c3ff47ee
Europe,EU,Austria,Zlaim �E��E Grundlsee,Zlaim Schilift - Grundlsee,"""+4336228609""",zlaim-lift@aon.at,2,13.8350939,47.6171527,ce44443b-3ab1-481d-9297-e2ece7174cfb
Europe,EU,Germany,Borgloh �E��E Hilter-Uphöfen,Latten raus-Stimmung Sportstätte,,zimmerei-linnemeyer@osnanet.de,1,8.2040701,52.201227,03220704-8f36-4c8c-9fdd-d7d534811350
Europe,EU,Czech Republic,Karlova Studánka,Vlek JiŁEí SedláŁE,"""+420554751444""",zdenkan@cbox.cz,1,17.3068597,50.0730927,3c696786-6f69-4e63-8fa0-bd71fc34cf20
Europe,EU,Slovakia,Zbojská,"ADA Zbojská, Ltd.","""+421486199227""",zbojska@gmail.com,2,19.8508402,48.7436105,58bfbeb3-e348-45f4-9edc-20e251f33b7d
Europe,EU,Czech Republic,Zásada,Zásada Ski Centrum,"""+420601372810""",zasadaskicentrum@gmail.com,2,15.2699399,50.6976844,d0f3d104-6155-4de5-a604-2ee9558a4ece
Europe,EU,Poland,ZagroŁE,ZagroŁE komplexen Istebna,"""+48334832034""",zagron@istebna.org,2,18.9057082,49.5741124,1fce51a2-6576-460f-a94c-3931afce6eaa
Asia,,Japan,Yuzawa Park,Yuzawa Park Ski Resort,"""+81257874111""",yuzawainfo@park-resort.com,6,138.859679,36.9248929,29531e43-8854-4a1c-a9a6-2964f23721fa
Asia,,Japan,Hoshino Resorts Tomamu,Hoshino Resorts Tomamu,"""+81167581111""",yoyaku@snowtomamu.co.jp,11,142.6304131,43.063129,f7334a80-ae6b-44d0-bf1d-9f753d7ca63b
,,USA,Yellowstone Club,Yellowstone Club,"""+14069954900""",YCSales@yellowstoneclub.com,16,-111.3745324,45.2458036,fbde1f9c-fbdd-4676-bcef-7558dc67ee5a
Europe,,Switzerland,Les Prévondes,Syndicat des pistes Montreux - Veytaux,"""+41794090745""",y.greppin@sid-montreux.org,1,6.95071,46.56061,d5087fcc-6064-4c4d-8707-e0e698ced685
